"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"narG",2585.2585844052,-2.09875485894036,0.131775402626873,-15.9267573242258,4.13238543992246e-57,1.25449569668887e-55
"yohK",987.053467188399,-2.11874728220837,0.133612412739341,-15.8574135349367,1.24934160084355e-56,3.76522588254228e-55
"gatB",200.490520391267,-4.37991083313447,0.27972547548028,-15.6578903856158,2.93471427682296e-55,8.78091847288252e-54
"ygcP",230.266160195037,-2.40480121864582,0.153668034859034,-15.649326295165,3.3575506637405e-55,9.9743237217834e-54
"yhbS",5592.91478216891,-1.67183466257602,0.107869358040191,-15.4986985456344,3.53990093389424e-54,1.04414524709689e-52
"malF",1696.23134775151,-1.63934111969547,0.105889628597134,-15.4816023194537,4.61825315059072e-54,1.3526278065709e-52
"yfiD",32043.9305562476,-2.13184201558759,0.138009754263847,-15.4470387035973,7.89899949228579e-54,2.29733838380536e-52
"yfjL",2301.20632932297,-1.4889368239666,0.0967798734891887,-15.3847775398563,2.07087011048979e-53,5.98107554828266e-52
"cdd",1810.33240128492,-1.89963596505166,0.123718021095303,-15.3545615120074,3.30134141075346e-53,9.46915788091287e-52
"gutQ",1532.43148075531,-1.40027939890417,0.0929371141765211,-15.0669558799139,2.67141183644724e-51,7.60986426560552e-50
"gpmI",42347.0806051543,-1.95861207265263,0.130808819099315,-14.9730888646398,1.10087129396102e-50,3.1146419806693e-49
"udp",11786.3345311844,-1.55122516111554,0.104115327138032,-14.8991047116338,3.34025237908119e-50,9.38656057067477e-49
"uspF",734.094513719952,-2.00677216056508,0.134739101455066,-14.8937623814741,3.61822474139048e-50,1.00994608721094e-48
"rbsC",7666.58142603357,-1.63690428518903,0.110568767656151,-14.8044001926431,1.37205480306149e-49,3.8042506172885e-48
"hypA",132.28791966925,-3.54392192237973,0.239540880542394,-14.7946434627576,1.58622627331195e-49,4.36895037794992e-48
"moaE",3075.32883599643,-1.626731066721,0.110579362341724,-14.7109825221627,5.48058530067937e-49,1.49958909641615e-47
"fnr",9641.52603833606,1.24504927501889,0.0849692173333132,14.6529450793323,1.29000690419813e-48,3.50662661082354e-47
"glpE",1356.14434574117,1.58163829340084,0.107987895441951,14.6464405749166,1.41960195713909e-48,3.83384710372824e-47
"yjjP",624.180501102447,-1.86922238559296,0.127908781013992,-14.6137143265284,2.29648698096471e-48,6.16199313150467e-47
"cyoA",21446.046926551,2.83049234355476,0.195948589606429,14.4450763806972,2.6925863524779e-47,7.17850425638178e-46
"tpiA",56797.8023747716,-1.10446687003672,0.0773221697721724,-14.2839611626394,2.75486878816926e-46,7.29777024840508e-45
"napF",1045.73168004388,-2.8047305436635,0.197365956494819,-14.2108122062942,7.85096229773479e-46,2.0665919111569e-44
"aqpZ",617.308219485866,-1.62928299563262,0.115013195945253,-14.1660527058839,1.48622927623441e-45,3.88756450305593e-44
"lamB",5157.68680255681,-1.60768682841708,0.113935878168854,-14.1104527762052,3.27468695626007e-45,8.51213940692853e-44
"ychH",918.32156953286,-2.04868518114643,0.145345833985637,-14.095245284766,4.06233926659046e-45,1.04939559066768e-43
"yecH",2417.73636779793,-2.73544078534332,0.194835456113422,-14.039748410838,8.90281242303479e-45,2.28560474490134e-43
"yehT",464.757111180493,-1.68377920809182,0.120729253714552,-13.9467374831363,3.293290753473e-44,8.40294248079398e-43
"tnaA",902.203030494478,-1.79019522190023,0.128524633631587,-13.9288101534823,4.2334941259566e-44,1.07360378474717e-42
"glpQ",2718.18921635016,-1.90180196509238,0.137203950696833,-13.8611312242358,1.0894368311246e-43,2.74604107918012e-42
"uspE",5225.22943664379,-1.23491829258442,0.089177642079468,-13.8478464308796,1.31083462794113e-43,3.27946646071542e-42
"ygeV",898.5684825556,-1.81343883524908,0.130957676344873,-13.8475184186488,1.3168331304147e-43,3.27946646071542e-42
"narI",1638.06796630727,-2.0964325138989,0.151752308799555,-13.8148310920792,2.07440229139523e-43,5.13538043447187e-42
"argT",544.13251247945,1.77207664664287,0.12897184208107,13.7400274203184,5.84536505151337e-43,1.43851321001445e-41
"yadR",5256.41423391762,1.17165780912545,0.0854979418679439,13.7039299838953,9.61746488944499e-43,2.35288449854128e-41
"gldA",3899.28060583031,-1.78635520997417,0.130625156512694,-13.6754301978622,1.4236283144957e-42,3.46249716958341e-41
"ycgF",597.559225868043,2.15272568131139,0.158178940774164,13.609432904124,3.5196422198301e-42,8.51057673969383e-41
"moaD",731.014856707602,-1.53899337235509,0.113502626618641,-13.5590991874221,6.99903392059315e-42,1.68260011998537e-40
"hycE",349.835246786546,-2.08524476903086,0.153948334494131,-13.5450946961064,8.47045965217146e-42,2.02463458007937e-40
"fdnG",4708.07036418377,-2.06541372997999,0.15351695449096,-13.4539780106282,2.91745076532617e-41,6.93353013313803e-40
"fruK",16570.0840196265,-1.82375411944591,0.13611266218948,-13.3988571680943,6.14013502566838e-41,1.45095577112243e-39
"sdhB",1095.81066811055,1.21741666885078,0.0913562246129181,13.3260396213728,1.6334141297301e-40,3.8380617884449e-39
"yliL",1225.27229681932,1.80882377808772,0.135861371568211,13.3137458956064,1.92579010643232e-40,4.49964104081575e-39
"yobD",405.83837837373,-1.77213634008131,0.133535925964962,-13.2708582149368,3.41645448118328e-40,7.93800792583311e-39
"ycfP",4742.18734580053,-1.68251133808923,0.127652823634407,-13.1803691464584,1.13832465153986e-39,2.63016234764126e-38
"gcd",4366.29271973778,1.98617067350525,0.151491024782556,13.1108141644439,2.85516766633777e-39,6.56057586977834e-38
"sthA",4706.23367052612,1.35294615759361,0.104457884822715,12.9520730760518,2.28693646871003e-38,5.22602679855221e-37
"ccmF",1775.54037043868,-2.52110773826971,0.196186285619366,-12.8505809175728,8.53667587033366e-38,1.9401111991649e-36
"yfcY",362.658825118033,-1.71331696314555,0.133789281323286,-12.8060854068386,1.51591230997788e-37,3.42645613978152e-36
"yqeC",215.823571779488,-1.97395599256903,0.156101949567749,-12.6453000621387,1.18770238592198e-36,2.67008336381056e-35
"ccmD",217.499659863979,-2.87915377389307,0.229271844195708,-12.5578166128214,3.60133985564948e-36,8.05267336540118e-35
"selB",5305.46234171656,-1.01660539071441,0.0811364644106831,-12.5295746875132,5.14377789751072e-36,1.1440092126068e-34
"ptsI",75035.3345703464,-1.15188506742907,0.0922421994079645,-12.4876149400402,8.72295621272714e-36,1.92972206854958e-34
"menC",7173.83348964675,-1.04636853166732,0.0843349251300037,-12.4072978075729,2.38569120481894e-35,5.24978292108042e-34
"yohJ",595.691723948038,-2.24531128536342,0.182036479637421,-12.3344029165781,5.91255802039989e-35,1.29422783193911e-33
"treB",1005.26050813158,-1.37792250420354,0.111837529669889,-12.3207523294797,7.00378309173009e-35,1.52506460096887e-33
"yqeJ",181.73727447869,-2.08703027144374,0.169652578788174,-12.3017892586801,8.85897049651618e-35,1.91898220286515e-33
"zraS",609.415653272828,-1.28784684979434,0.104701625004955,-12.3001610503504,9.03937270613274e-35,1.94791456397959e-33
"ndk",6082.38647992891,1.74533301955817,0.142551269379304,12.2435459688131,1.81907979169202e-34,3.89976951218923e-33
"yihM",304.852162685979,-1.82967108853203,0.150397389285062,-12.1655774560294,4.74080877513618e-34,1.01112942029699e-32
"efeU",559.213599722069,3.4273419230659,0.282144140342974,12.1474857457597,5.91569468210709e-34,1.25527419300425e-32
"menE",5470.24249655277,-1.2988981656219,0.107085781752485,-12.1295109804972,7.36881532025416e-34,1.55568035111356e-32
"cysG",5061.90117065384,-1.23735734191821,0.103035299521515,-12.0090624054511,3.18434792324117e-33,6.68873889533335e-32
"yebK",1072.74309842401,-1.28596359297143,0.107272885427131,-11.9877785318357,4.11801174230295e-33,8.60643760614972e-32
"malM",2863.46178331816,-1.29955207590581,0.109106011344017,-11.9109117810957,1.03835563236263e-32,2.15926053749809e-31
"ynfG",256.051623604879,-3.36269146621666,0.283405350378965,-11.8653069242346,1.79243957212729e-32,3.70883392063552e-31
"napD",259.793923488857,-3.36444058033908,0.284642329823079,-11.8198884278043,3.08093433938332e-32,6.34336926608675e-31
"clcB",424.659261807716,-1.28660302413569,0.108904006383952,-11.8141018577374,3.30057166590365e-32,6.76210717167157e-31
"yneE",706.351159562072,1.59748149415968,0.135236293362855,11.8125205478195,3.36325144151914e-32,6.85674644376377e-31
"gatD",504.068763898948,-2.46731479077965,0.210213301129009,-11.7371963502226,8.21652936508797e-32,1.66695344533663e-30
"nupC",4883.55785307702,-1.5442333630451,0.132005223326016,-11.698274690474,1.30071149566424e-31,2.62604811187747e-30
"yfiA",13777.8132750407,-1.43233640515551,0.122495499285545,-11.6929716888344,1.38455715695016e-31,2.78182280954383e-30
"yghZ",1017.68308419739,-1.38327068268159,0.118410135738746,-11.6820293638846,1.57490001054249e-31,3.14904285761837e-30
"yfjK",2001.98800807322,-1.22737922963948,0.105801865531865,-11.6007333468976,4.08562069530494e-31,8.13018969941303e-30
"yfgF",574.666915873638,-1.47719153056051,0.127414870265414,-11.5935567605525,4.44291867809424e-31,8.7990946581876e-30
"yagE",3691.52557369571,-1.425656979785,0.123002544643055,-11.5904673673391,4.60612291856384e-31,9.07908304185167e-30
"fsaA",401.811240100822,-1.69970174290106,0.147129031499985,-11.5524565449289,7.1740103706689e-31,1.40739194017037e-29
"ydeA",865.018710665391,1.37947787671593,0.119730705293313,11.5215046410737,1.02800004731589e-30,2.00725455248206e-29
"hscA",10601.5177019281,1.37952717774576,0.121386748620234,11.3647263266083,6.26605358828987e-30,1.21778116232232e-28
"ydcX",174.890997567835,2.43433412117869,0.214314079402439,11.3587223385707,6.7119059343579e-30,1.29836357120905e-28
"ykgG",252.763596219384,-2.37594635101973,0.209717231251131,-11.3292853278928,9.39683200080716e-30,1.80932519867393e-28
"sdhC",456.411442125283,1.72688069125884,0.152551482671394,11.319986282786,1.04488268774028e-29,2.00261156604231e-28
"ydjX",182.205423117667,-1.88530152257716,0.167030978367499,-11.2871369191717,1.51904481719943e-29,2.89803091501488e-28
"menB",8020.9246216234,-1.05220677360717,0.0935575544121121,-11.24662546193,2.40622851541865e-29,4.56963671033159e-28
"ycfR",435.186131758654,1.48166240656751,0.132147261983221,11.2122066271463,3.55225380693547e-29,6.71537435592938e-28
"hcp",298.802417570271,-2.61301931146661,0.233082827066999,-11.2106899695167,3.61365386668142e-29,6.80053684684526e-28
"aphA",1220.2681769128,-1.3842201909649,0.12409400610155,-11.1546095935701,6.79906018786322e-29,1.27375186132086e-27
"rbsD",13046.777912333,-1.89868956471326,0.170574128006047,-11.1311696967664,8.84669159866939e-29,1.64992781878323e-27
"hycD",127.517039202138,-2.76189547756212,0.248329023590076,-11.1219197725404,9.81372262992412e-29,1.82211037579707e-27
"crl",9846.07482806489,1.10941133533887,0.0997791878761886,11.1186647130812,1.01783920537807e-28,1.88141922451884e-27
"cadC",1270.83448633866,-0.994185709768154,0.089754761487409,-11.0766904539947,1.62778784368688e-28,2.99556178844856e-27
"yeaI",126.734873235554,-2.06016212025436,0.186448187794107,-11.049515388851,2.20401404384554e-28,4.03810326359189e-27
"srlR",890.186834027196,-1.44466657448194,0.131449033904676,-10.9903171713653,4.25428440549515e-28,7.76033721160277e-27
"dgsA",762.72044171533,-1.2151218567661,0.110906871541763,-10.9562359831648,6.20257882871719e-28,1.12648582308449e-26
"crcA",469.36273559612,-1.17985584039914,0.108150110700203,-10.9094279493596,1.03908137665948e-27,1.87138468214341e-26
"ybbB",917.297459840667,-1.31092772348675,0.120164977018011,-10.9093993609325,1.03940817882935e-27,1.87138468214341e-26
